quarter,year,rev
3,2019,5639
2,2019,5909
1,2019,5149
4,2018,5704
3,2018,5575
2,2018,5742
1,2018,4944
4,2017,5258
3,2017,5303
2,2017,5731
1,2017,4854
4,2016,4940
3,2016,5139
2,2016,5384
1,2016,4826
4,2015,4977
3,2015,5318
2,2015,5111
1,2015,4414
4,2014,4628
3,2014,4800
2,2014,5011
1,2014,4166
4,2013,4427
3,2013,4545
2,2013,4643
1,2013,4084
4,2012,4172
3,2012,4309
2,2012,4616
1,2012,3991
4,2011,4108
3,2011,4311
2,2011,4136
1,2011,3103
4,2010,3114
3,2010,3192
2,2010,3168
1,2010,2630
4,2009,2711
3,2009,2666
2,2009,2616
1,2009,2357
4,2008,2733
3,2008,2891
2,2008,2869
1,2008,2530
4,2007,2492
3,2007,2588
2,2007,2583
1,2007,2198
4,2006,2276
3,2006,2342
2,2006,2449
1,2006,2019
4,2005,1988
3,2005,1989
2,2005,1944
1,2005,1663
