year,quarter,fuel_price,stock_price,operational_expense,revenue,HOU-DAL-Boeing 737-300_flights_flown,HOU-DAL-Boeing 737-300_passengers_carried,DAL-HOU-Boeing 737-300_flights_flown,DAL-HOU-Boeing 737-300_passengers_carried,BUR-OAK-Boeing 737-700/700LR/Max 7_flights_flown,BUR-OAK-Boeing 737-700/700LR/Max 7_passengers_carried,OAK-BUR-Boeing 737-700/700LR/Max 7_flights_flown,OAK-BUR-Boeing 737-700/700LR/Max 7_passengers_carried,BUR-LAS-Boeing 737-700/700LR/Max 7_flights_flown,BUR-LAS-Boeing 737-700/700LR/Max 7_passengers_carried,LAS-BUR-Boeing 737-700/700LR/Max 7_flights_flown,LAS-BUR-Boeing 737-700/700LR/Max 7_passengers_carried,MDW-LAS-Boeing 737-700/700LR/Max 7_flights_flown,MDW-LAS-Boeing 737-700/700LR/Max 7_passengers_carried,DAL-HOU-Boeing 737-700/700LR/Max 7_flights_flown,DAL-HOU-Boeing 737-700/700LR/Max 7_passengers_carried,PHX-SNA-Boeing 737-700/700LR/Max 7_flights_flown,PHX-SNA-Boeing 737-700/700LR/Max 7_passengers_carried,MDW-PHX-Boeing 737-700/700LR/Max 7_flights_flown,MDW-PHX-Boeing 737-700/700LR/Max 7_passengers_carried,LAS-MDW-Boeing 737-700/700LR/Max 7_flights_flown,LAS-MDW-Boeing 737-700/700LR/Max 7_passengers_carried,MDW-DEN-Boeing 737-700/700LR/Max 7_flights_flown,MDW-DEN-Boeing 737-700/700LR/Max 7_passengers_carried,HOU-DAL-Boeing 737-700/700LR/Max 7_flights_flown,HOU-DAL-Boeing 737-700/700LR/Max 7_passengers_carried,DAL-SAT-Boeing 737-700/700LR/Max 7_flights_flown,DAL-SAT-Boeing 737-700/700LR/Max 7_passengers_carried,SAN-LAS-Boeing 737-700/700LR/Max 7_flights_flown,SAN-LAS-Boeing 737-700/700LR/Max 7_passengers_carried,PHX-DEN-Boeing 737-700/700LR/Max 7_flights_flown,PHX-DEN-Boeing 737-700/700LR/Max 7_passengers_carried,LAS-SAN-Boeing 737-700/700LR/Max 7_flights_flown,LAS-SAN-Boeing 737-700/700LR/Max 7_passengers_carried,LAS-RNO-Boeing 737-700/700LR/Max 7_flights_flown,LAS-RNO-Boeing 737-700/700LR/Max 7_passengers_carried,RNO-LAS-Boeing 737-700/700LR/Max 7_flights_flown,RNO-LAS-Boeing 737-700/700LR/Max 7_passengers_carried,LAX-OAK-Boeing 737-700/700LR/Max 7_flights_flown,LAX-OAK-Boeing 737-700/700LR/Max 7_passengers_carried,MCI-MDW-Boeing 737-700/700LR/Max 7_flights_flown,MCI-MDW-Boeing 737-700/700LR/Max 7_passengers_carried,DAL-HOU-Boeing 737-500_flights_flown,DAL-HOU-Boeing 737-500_passengers_carried,HOU-DAL-Boeing 737-500_flights_flown,HOU-DAL-Boeing 737-500_passengers_carried,LAS-PHX-Boeing 737-700/700LR/Max 7_flights_flown,LAS-PHX-Boeing 737-700/700LR/Max 7_passengers_carried,DEN-MDW-Boeing 737-700/700LR/Max 7_flights_flown,DEN-MDW-Boeing 737-700/700LR/Max 7_passengers_carried,MDW-MCI-Boeing 737-700/700LR/Max 7_flights_flown,MDW-MCI-Boeing 737-700/700LR/Max 7_passengers_carried,SJC-SNA-Boeing 737-700/700LR/Max 7_flights_flown,SJC-SNA-Boeing 737-700/700LR/Max 7_passengers_carried,SNA-SJC-Boeing 737-700/700LR/Max 7_flights_flown,SNA-SJC-Boeing 737-700/700LR/Max 7_passengers_carried,OAK-SNA-Boeing 737-700/700LR/Max 7_flights_flown,OAK-SNA-Boeing 737-700/700LR/Max 7_passengers_carried,FLL-BWI-Boeing 737-700/700LR/Max 7_flights_flown,FLL-BWI-Boeing 737-700/700LR/Max 7_passengers_carried,MDW-MSP-Boeing 737-700/700LR/Max 7_flights_flown,MDW-MSP-Boeing 737-700/700LR/Max 7_passengers_carried,SNA-OAK-Boeing 737-700/700LR/Max 7_flights_flown,SNA-OAK-Boeing 737-700/700LR/Max 7_passengers_carried,BWI-FLL-Boeing 737-700/700LR/Max 7_flights_flown,BWI-FLL-Boeing 737-700/700LR/Max 7_passengers_carried,OAK-LAX-Boeing 737-700/700LR/Max 7_flights_flown,OAK-LAX-Boeing 737-700/700LR/Max 7_passengers_carried,SAN-OAK-Boeing 737-700/700LR/Max 7_flights_flown,SAN-OAK-Boeing 737-700/700LR/Max 7_passengers_carried,LAX-LAS-Boeing 737-700/700LR/Max 7_flights_flown,LAX-LAS-Boeing 737-700/700LR/Max 7_passengers_carried,DCA-MDW-Boeing 737-700/700LR/Max 7_flights_flown,DCA-MDW-Boeing 737-700/700LR/Max 7_passengers_carried,SMF-SAN-Boeing 737-700/700LR/Max 7_flights_flown,SMF-SAN-Boeing 737-700/700LR/Max 7_passengers_carried,PHX-DEN-Boeing 737-800_flights_flown,PHX-DEN-Boeing 737-800_passengers_carried,MDW-LAS-Boeing 737-800_flights_flown,MDW-LAS-Boeing 737-800_passengers_carried,LAS-MDW-Boeing 737-800_flights_flown,LAS-MDW-Boeing 737-800_passengers_carried,LAS-LAX-Boeing 737-700/700LR/Max 7_flights_flown,LAS-LAX-Boeing 737-700/700LR/Max 7_passengers_carried,OAK-SAN-Boeing 737-700/700LR/Max 7_flights_flown,OAK-SAN-Boeing 737-700/700LR/Max 7_passengers_carried,SJC-SAN-Boeing 737-700/700LR/Max 7_flights_flown,SJC-SAN-Boeing 737-700/700LR/Max 7_passengers_carried,SAN-SJC-Boeing 737-700/700LR/Max 7_flights_flown,SAN-SJC-Boeing 737-700/700LR/Max 7_passengers_carried,MDW-DEN-Boeing 737-800_flights_flown,MDW-DEN-Boeing 737-800_passengers_carried,SAN-SMF-Boeing 737-700/700LR/Max 7_flights_flown,SAN-SMF-Boeing 737-700/700LR/Max 7_passengers_carried
2010,1,78.81,12.34,-2575561,2630000,1149,107530,1077,97114,1075,94881,1082,91959,988,85813,966,85343,694,81268,816,71986,651,68963,560,68323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,77.82,12.85,-2805548,3168000,1230,119403,1032,101422,1080,103360,1066,100614,971,90613,979,87326,809,96569,914,88966,0,0,629,72459,782,92137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,76.06,11.87,-2836702,3192000,1310,126379,990,95550,1043,100944,1052,99969,959,95087,910,87422,815,99340,861,83113,0,0,0,0,790,87896,754,90739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,85.16,13.41,-2898066,3114000,1144,118670,1004,101133,1026,106352,1042,107951,925,92222,908,87841,784,94335,792,79628,0,0,0,0,755,85008,731,82188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,94.07,12.56,-2988795,3103000,907,90669,903,89313,997,95667,996,94654,898,80729,890,79683,714,83643,803,78939,0,0,0,0,0,0,725,79976,862,83070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,102.02,11.8,-3400693,4136000,903,94866,1015,104610,1021,100763,1008,98717,913,85977,0,0,868,105180,802,85012,0,0,0,0,839,97233,760,91464,869,91145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,89.49,9.33,-3345870,4311000,935,93437,1004,99796,1026,96342,1030,99112,936,87121,0,0,834,105108,0,0,0,0,0,0,826,96109,750,96533,874,89982,948,92048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,94.02,8.44,-3267209,4108000,1102,113212,985,102076,1065,103670,1064,105259,920,82953,918,82963,787,96992,866,88732,0,0,0,0,0,0,727,79019,0,0,0,0,753,74268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,102.98,9.06,-3285329,3991000,1145,114125,1041,105028,1047,95263,1065,93254,912,74721,899,77996,680,86160,832,81576,0,0,0,0,623,75818,0,0,0,0,0,0,0,0,659,75900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,93.29,8.61,-4156226,4616000,1205,130146,1082,118338,1050,101688,1058,100180,908,86499,909,84200,821,98579,810,85673,0,0,0,0,827,100801,750,84341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,92.17,9.2,-4257722,4309000,1012,105182,1112,114087,1048,101267,1083,105756,925,91340,871,85534,0,0,808,83707,0,0,0,0,646,78318,0,0,938,94985,0,0,0,0,0,0,779,86911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,88.01,9.46,-4081375,4172000,0,0,0,0,1074,107822,1094,109611,903,87365,916,87215,0,0,0,0,0,0,0,0,0,0,604,72981,0,0,0,0,0,0,0,0,0,0,802,82329,795,77560,814,76859,662,76624,756,73584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,94.33,11.82,-4013899,4084000,0,0,0,0,1092,98633,1090,96729,837,80112,838,81608,0,0,0,0,0,0,0,0,0,0,639,73738,0,0,0,0,0,0,0,0,0,0,816,90859,817,87411,0,0,0,0,947,78462,925,78520,731,73086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
