citypair,aircraft,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,quarter,year,revenue
ABQ-BWI,Boeing 737-700/700LR/Max 7,89.0,93.0,11295.0,12727.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-DEN,Boeing 737-300,58.0,60.0,7088.0,8240.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-DEN,Boeing 737-700/700LR/Max 7,192.0,196.0,18402.0,27456.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-HOU,Boeing 737-700/700LR/Max 7,197.0,200.0,19864.0,28171.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-LAS,Boeing 737-300,77.0,78.0,7320.0,10945.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-LAS,Boeing 737-700/700LR/Max 7,260.0,262.0,25640.0,37180.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-MCI,Boeing 737-300,56.0,57.0,5802.0,7708.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-MDW,Boeing 737-700/700LR/Max 7,166.0,171.0,15865.0,23738.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-OAK,Boeing 737-700/700LR/Max 7,153.0,155.0,13711.0,21879.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-PHX,Boeing 737-300,185.0,186.0,19518.0,25771.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-PHX,Boeing 737-700/700LR/Max 7,316.0,317.0,35653.0,45188.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ABQ-SAN,Boeing 737-300,97.0,99.0,10701.0,13625.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ALB-BWI,Boeing 737-700/700LR/Max 7,289.0,302.0,33641.0,41327.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ALB-BWI,Boeing 737-800,58.0,60.0,7447.0,10150.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
