sum_departures_scheduled,sum_departures_performed,sum_payload,sum_seats,sum_passengers,sum_freight,sum_mail,sum_distance,sum_ramp_to_ramp,sum_air_time,quarterFlight.year,quarterFlight.quarter,quarterly_rev_data.quarter,quarterly_rev_data.year
316037.0,313766.0,11045304249,45854908,37611820,78733188,0.0,7236951.0,37973914,32281283,2015,4,4.0,2015
322474.0,321156.0,11277448613,46866508,38677034,76741255,0.0,7191296.0,38824288,32943078,2015,3,3.0,2015
323885.0,321454.0,11278458107,46895014,38555919,82802059,0.0,7712593.0,39123664,33389958,2015,2,2.0,2015
299459.0,292694.0,10260562358,42665688,32985464,81170952,0.0,7190930.0,35489226,30160230,2015,1,1.0,2015
295763.0,294056.0,10290019561,42810987,33968886,82614414,0.0,6633476.0,35104029,29938437,2014,4,4.0,2014
299532.0,297675.0,10369770382,43167781,34898056,75426744,0.0,6598733.0,35294521,30091173,2014,3,3.0,2014
301811.0,300527.0,10410869800,43379809,34965260,77826545,0.0,6879567.0,35493945,30483694,2014,2,2.0,2014
277527.0,269839.0,9342747600,38914213,29586334,72179642,0.0,6627633.0,31750009,27099927,2014,1,1.0,2014
278992.0,277842.0,9600562700,40013405,31004455,74254796,0.0,6001331.0,32183807,27566855,2013,4,4.0,2013
286862.0,285697.0,9844837500,40975846,31268802,73956927,0.0,5755295.0,32643841,27887589,2013,3,3.0,2013
293424.0,292289.0,10058152300,41672402,32308769,75477669,0.0,5863004.0,33628087,28823853,2013,2,2.0,2013
271427.0,268604.0,9222310200,37996310,27795981,76336781,0.0,5736815.0,30593227,26229304,2013,1,1.0,2013
278715.0,275787.0,9427198400,38592863,29538913,82942802,0.0,5454847.0,31126448,26692818,2012,4,4.0,2012
290624.0,289420.0,9853868300,40068599,31334979,75403842,0.0,5563931.0,32389665,27760927,2012,3,3.0,2012
294428.0,292860.0,9894052600,40094838,31280416,81753654,0.0,5472851.0,32794762,28291080,2012,2,2.0,2012
276767.0,274753.0,9267819200,37468769,27804969,75410652,5.0,5395922.0,30717202,26467472,2012,1,1.0,2012
282681.0,281547.0,10368290800,38404059,29717726,75409264,0.0,5204571.0,31120500,26799523,2011,4,4.0,2011
295766.0,293806.0,10823442600,40091987,30877233,72174305,0.0,5109236.0,32311417,27750404,2011,3,3.0,2011
298763.0,296206.0,10910201000,40401977,31223288,74811058,0.0,5177075.0,32941923,28403453,2011,2,2.0,2011
278507.0,273929.0,10087509000,37344193,27649171,68750498,0.0,5183575.0,30401876,26130241,2011,1,1.0,2011
280194.0,278282.0,10249681200,37936984,29241991,74239474,0.0,5046963.0,30586127,26253342,2010,4,4.0,2010
287979.0,287243.0,10579967400,39147181,29970323,69716487,0.0,5008855.0,30989898,26588842,2010,3,3.0,2010
288268.0,287271.0,10583517100,39160092,29564600,73508102,0.0,5036862.0,31273725,26938447,2010,2,2.0,2010
268011.0,262015.0,9651231200,35722895,25479169,70206772,0.0,5167403.0,28360254,24250410,2010,1,1.0,2010
